OID_,bld_name_e,bld_name_c,bld_address,bld_ac_type,bld_year,bld_passenger,bld_service,bld_starting_oper,bld_opr_hrs,bld_start_opr_weekend,bld_opr_hrs_weekend,x,y,ELABEL,retail,parking,office,hotel,food,ghi,wind10m,td_cdd,LULCM,ndvi,ndbi,BH,podium,area,highrise,area_1,Dist_mtr,bld_eui,bld_eui2,log10_eui,Lighting,AirConditi,Escalator,Lift,Electrical,FoC_v,Date_FOC,retro,Storey,Basement,Unit,PM,OCor,MAC,OCom
2922,Wah Hing Industrial Building,華興工業大廈,"2-6 Ma Kok Street, Tsuen Wan, New Territories, Hong Kong",Individual Air-Conditioning System,1974,1,2,,,,,830277,825089,TAI WO HAU STATION,355.5296326,70.9102402,3998.778565,0,0.0144193,1431.780029,3.4563811,2.650340502,21,0.0365183,0.0971677,20.8781986,1,9106,1,2073,934.4094702,,,,NO,NO,NO,NO,NO,,,,,,,,,,
2923,Lung Shing Factory Building,隆盛工廠大廈,"142-148 Texaco Road, Tsuen Wan, New Territories, Hong Kong",Individual Air-Conditioning System,1978,1,3,,,,,830365,824985,TAI WO HAU STATION,177.8739014,4.9756589,784.2578735,0,94.4944763,1431.780029,2.9863093,2.650340502,21,0.0679852,0.0460066,82.5155716,0,,0,,952.3704038,,,,NO,NO,NO,NO,NO,,,,,,,,,,
2924,Houston Industrial Building,興盛工業大廈,"32-40 Wang Lung Street, Tsuen Wan, New Territories, Hong Kong",Individual Air-Conditioning System,1989,1,8,,,,,830116,825205,TSUEN WAN WEST STATION,836.637207,89.8610916,3555.66919,0,394.1448975,1432.51001,2.5674841,2.61452509,21,0.0518053,0.0225094,35.7119217,1,6784,1,2910,754.3007776,,,,NO,NO,NO,NO,NO,,,,,,,,,,
2925,International Enterprise Centre II,國際企業中心2期,"73 Chai Wan Kok Road, Tsuen Wan, New Territories, Hong Kong",Individual Air-Conditioning System,2021,2,0,,,,,829992,826083,TSUEN WAN STATION,1430.232178,79.6393509,0,0,144.5133972,1429.95398,2.579457,2.507078853,11,0.0418308,0.0581652,85.2463913,1,4302,1,4540,176.2156423,,,,NO,NO,NO,NO,NO,,,,,,,,,,
2926,Excelsior Industrial Building,大成大廈,"68-76 Sha Tsui Road, Tsuen Wan, New Territories, Hong Kong",Individual Air-Conditioning System,1981,1,9,,,,,829382,825970,TSUEN WAN WEST STATION,753.4078979,80.7460403,1119.551758,0,583.3457642,1423.379028,2.2031801,2.507078853,21,0.112884,0.1348837,101.5496216,1,6835,1,2755,553.5173561,,,,NO,NO,NO,NO,NO,,,,,,,,,,
2927,Plaza 88,楊屋道88號,"88 Yeung Uk Road, Tsuen Wan, New Territories, Hong Kong",Individual Air-Conditioning System,2020,17,3,0,24,0,24,829943,825356,TSUEN WAN WEST STATION,39.9285698,102.7005234,68.3616409,0,66.2277222,1432.51001,2.2525949,2.578709678,11,0.0894916,0.0075455,5.0609655,0,,0,,554.3405115,,,,NO,NO,NO,NO,NO,,,,,,,,,,
2928,Oxford Factory Building,牛津工業大廈,"42-46 Fui Yiu Kok Street, Tsuen Wan, New Territories, Hong Kong",Individual Air-Conditioning System,1971,,,,,,,830210,825190,TSUEN WAN WEST STATION,222.337738,123.3579102,1988.774658,0,303.6318665,1431.415039,2.5674841,2.61452509,21,0.0834532,0.1972281,34.4285202,1,850,1,395,848.8190777,,,,NO,NO,NO,NO,NO,,,,,,,,,,
2929,Tsuen Tung Factory Building,銓通工業大廈,"38-40 Chai Wan Kok Street, Tsuen Wan, New Territories, Hong Kong",Individual Air-Conditioning System,1978,0,4,,,,,830188,825203,TSUEN WAN WEST STATION,287.9238281,129.6087799,1954.165039,0,309.5023193,1431.415039,2.5674841,2.61452509,21,0.1057204,0.0998132,32.3238678,1,850,1,572,824.1741359,,,,NO,NO,NO,NO,NO,,,,,,,,,,
2930,Wing Hing Industrial Building (TW),榮興工業大廈,"83-93 Chai Wan Kok Street, Tsuen Wan, New Territories, Hong Kong",Individual Air-Conditioning System,1989,,,,,,,829233,825878,TSUEN WAN WEST STATION,572.8634033,0,540.9429321,0,377.8088684,1429.223023,3.8618071,2.507078853,21,0.075213,0.0885678,121.9013443,1,4131,1,4429,488.0466211,,,,NO,NO,NO,NO,NO,,,,,,,,,,
2931,Wah Wai Industrial Building,華偉工業大廈,"53-61 Pak Tin Par Street, Tsuen Wan, New Territories, Hong Kong",Individual Air-Conditioning System,1982,,,,,,,829472,826170,TSUEN WAN STATION,841.0386353,75.2628403,1166.035156,0,650.6100464,1423.379028,1.7097902,2.507078853,21,0.0643275,0.1278826,61.1930237,1,2174,1,2364,703.415256,,,,NO,NO,NO,NO,NO,,,,,,,,,,
2932,Jing Ho Industrial Building,正好工業大廈,"78-84 Wang Lung Street, Tsuen Wan, New Territories, Hong Kong",Individual Air-Conditioning System,1977,4,2,,,,,830296,825228,TAI WO HAU STATION,77.7429581,60.4136772,1561.096191,0,151.5042419,1431.415039,2.5674841,2.61452509,21,0.0716867,-0.102572,18.5248928,1,862,1,991,829.2761025,,,,NO,NO,NO,NO,NO,,,,,,,,,,
2933,Leader Industrial Centre Phase 2,利達工業中心二座,"188-202 Texaco Road, Tsuen Wan, New Territories, Hong Kong",Individual Air-Conditioning System,1990,3,4,,,,,830147,825014,TSUEN WAN WEST STATION,181.041153,71.5548248,702.4157104,0,49.722496,1435.067017,3.4563811,2.650340502,21,0.0993055,0.131415,73.488884,1,13979,1,1605,855.6411109,,,,NO,NO,NO,NO,NO,,,,,,,,,,
2934,Leader Industrial Centre Phase 1,利達工業中心一座,"188-202 Texaco Road, Tsuen Wan, New Territories, Hong Kong",Individual Air-Conditioning System,1987,2,3,,,,,830147,825014,TSUEN WAN WEST STATION,181.041153,71.5548248,702.4157104,0,49.722496,1435.067017,3.4563811,2.650340502,21,0.0993055,0.131415,73.488884,1,13979,1,1605,855.6411109,,,,NO,NO,NO,NO,NO,,,,,,,,,,
2935,Wah Lik Industrial Centre,華力工業中心,"45469 Castle Peak Road, Tsuen Wan, New Territories, Hong Kong",Individual Air-Conditioning System,1988,2,8,,,,,824124.9367,825297.8043,SUNNY BAY STATION,0,0,0,0,0,1453.694946,2.0089436,2.363817205,41,0.1072423,-0.0794297,5.0831475,0,,0,,4925.746167,,,,NO,NO,NO,NO,NO,,,,,,,,,,
2936,Shield Industrial Centre,順豐工業中心,"84-92 Chai Wan Kok Street, Tsuen Wan, New Territories, Hong Kong",Individual Air-Conditioning System,1982,6,10,,,,,829233,825878,TSUEN WAN WEST STATION,572.8634033,0,540.9429321,0,377.8088684,1429.223023,3.8618071,2.507078853,21,0.075213,0.0885678,121.9013443,1,4131,1,4429,488.0466211,,,,NO,NO,NO,NO,NO,,,,,,,,,,
