full_addr_,full_addr1,bld_eui,bld_eui2,log10_eui,Lighting,AirConditi,Escalator,Lift,Electrical,FoC_v,Date_FOC,retro,Storey,Basement,Unit,PM,OCor,MAC,OCom
"HIP SHING HONG CENTRE, 55 DES VOEUX ROAD CENTRAL, Central, Hong Kong","協成行中心, 香港中環德輔道中55號",611.93,169.98,2.230397825,NO,NO,NO,NO,NO,NONE,NONE,NONE,22,0,22,yes,,,
"Ho Lee Commercial Building, 17-19 Lan Kwai Fong, Central, Hong Kong","好利商業大廈, 香港中環蘭桂坊17-19號",53.45,14.85,1.171726454,NO,NO,NO,NO,NO,NONE,NONE,NONE,25,0,147,yes,yes,,
"Hoi Kiu Commercial Building, 158 Connaught Road Central, Sheung Wan, Hong Kong","開僑商業大廈, 香港上環干諾道中158號",146.51,40.7,1.609594409,NO,NO,NO,NO,NO,NONE,NONE,NONE,24,0,24,,yes,,
"Hoi Kiu House, 46 Wing Lok St, Central, Hong Kong","開僑樓, 香港中環永樂街46號",159.42,44.28,1.646207612,NO,NO,NO,NO,NO,NONE,NONE,NONE,5,0,5,yes,,,
"Hollywood Centre, 233 Hollywood Road, Central, Hong Kong","荷李活商業中心, 香港中環荷李活道233號",399.62,111.01,2.045362103,NO,YES,YES,YES,YES,2018,3/3/2020,retro_after,22,1,145,yes,,,
"Hollywood Centre, 77-91 Queen's Rd W, Sheung Wan, Hong Kong","荷李活中心, 香港上環皇后大道西77-91號",179.03,49.73,1.696618459,NO,NO,NO,NO,NO,NONE,NONE,NONE,20,1,120,yes,yes,,
"Hollywood Commercial House, 3-5 Old Bailey Street Hong Kong","荷李活商業大廈, 香港奧卑利街3-5號",116.31,32.31,1.509336958,NO,NO,NO,NO,NO,NONE,NONE,NONE,12,0,22,,,,
"Hong Kong & Macau Building, 156-157 Connaught Rd C, Sheung Wan, Hong Kong","寶基大廈, 香港上環干諾道中156-157號",188.41,52.34,1.718833718,NO,NO,NO,NO,NO,NONE,NONE,NONE,18,0,56,yes,,,
"Hong Kong Diamond Exchange Building, 8-10 Duddell Street, Central, Hong Kong","香港鑽石會大廈, 香港中環都爹利街8-10號",384.32,106.76,2.028408565,NO,NO,NO,NO,NO,NONE,NONE,NONE,25,0,24,yes,yes,,
"Hong Kong House, 17-19 Wellington St, Central, Hong Kong","香港工商大廈, 香港中環威靈頓街17-19號",93.57,25.99,1.41480628,NO,YES,NO,NO,YES,2012 (rev.1),3/21/2016,retro_before,16,1,40,yes,yes,,
"Hong Kong Jewellery Building, 178-180 Queen's Road Central, Central, Hong Kong","香港珠寶大廈, 香港中環皇后大道中178-180號",100.3,27.86,1.444981112,NO,NO,NO,NO,NO,NONE,NONE,NONE,23,0,42,yes,yes,,
"Hong Kong Plaza, 188 Connaught Rd W, Sai Ying Pun, Hong Kong","香港商業中心, 香港西營盤干諾道西188號",315.1,87.53,1.942156928,NO,YES,YES,YES,YES,2018,3/10/2021,retro_after,42,0,337,yes,yes,,
"Hong Kong Trade Centre, 161-167 Des Voeux Rd C, Central, Hong Kong","香港貿易中心, 香港中環德輔道中161-167號",348.49,96.8,1.985875357,NO,NO,NO,NO,NO,NONE,NONE,NONE,23,0,27,yes,yes,,
"Hong Lok Square, 8 HONG LOK ROAD","康樂廣場, 康樂路8號",1205.8,334.94,2.524967016,NO,NO,NO,NO,NO,NONE,NONE,NONE,23,0,94,yes,yes,,
"Hop Yuen Centre, 171 Queen's Rd C, Central, Hong Kong","合源中心, 香港中環皇后大道中171號",934.63,259.62,2.414338146,NO,NO,NO,NO,NO,NONE,NONE,NONE,6,0,6,,,,
"Horizon Plaza, 2 Lee Wing Street, Aberdeen, Hong Kong","新海怡廣場, 香港香港仔利榮街2號",172.1,47.81,1.679518744,NO,YES,NO,NO,YES,2015,1/10/2017,retro_after,28,0,364,yes,,,
"Hoseinee House, 69 Wyndham St, Central, Hong Kong","賀善尼大廈, 香港中環雲咸街69號",125.06,34.74,1.540829814,NO,NO,NO,NO,NO,NONE,NONE,NONE,12,0,12,yes,,,
"HSBC Main Building, 1 Queen's Road, Central, Hong Kong","匯豐總行大廈, 香港中環皇后大道1號",1590,441.67,2.645097901,NO,NO,NO,NO,NO,NONE,NONE,NONE,46,4,50,yes,,,
"HUA FU COMMERCIAL BUILDING, 111 QUEEN'S ROAD WEST","華富商業大廈, 皇后大道西111號",85.75,23.82,1.376941757,NO,NO,NO,NO,NO,NONE,NONE,NONE,22,1,150,yes,,,
"Hua Qin International Building, 340 Queen's Rd C, Sheung Wan, Hong Kong","華秦國際大廈, 香港上環皇后大道中340號",365.78,101.61,2.006936451,NO,NO,NO,NO,NO,NONE,NONE,NONE,22,0,160,yes,,,
"Hung Cheong House, 139-145 Des Voeux Rd W, Sai Ying Pun, Hong Kong","鴻昌商業大廈, 香港西營盤德輔道西139-145號",68.48,19.02,1.279210513,NO,NO,NO,NO,NO,NONE,NONE,NONE,24,0,88,yes,yes,,
"Hung Tak Building, 106 Des Voeux Rd C, Sheung Wan, Hong Kong","鴻德大廈, 香港上環德輔道中106號",121.38,33.72,1.527887566,NO,NO,NO,NO,NO,NONE,NONE,NONE,16,0,48,yes,yes,,
"Infinitus Plaza, 100 Connaught Rd C, Central, Hong Kong","無限極廣場, 香港中環干諾道中100號",510.1,141.69,2.1513392,NO,YES,YES,YES,YES,2018,3/29/2021,retro_after,38,1,86,yes,,,
"International Commerce Centre, 1 Austin Road West, Tsim Sha Tsui, Kowloon","環球貿易廣場, 九龍尖沙咀柯士甸道西1號",423.79,117.72,2.070850253,NO,NO,NO,NO,NO,2015,5/4/2018,retro_before,118,0,0,yes,,,
